datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
2005-08-27 14:30:00,rochester,mn,us,disk,600,10 minutes,A fleet of at least 100 disc shaped UFOs dancing across the sky&#33,2006-02-14,44.0216667,-92.4697222
2005-08-27 17:35:00,snoqualmie,wa,us,flash,2,2 sec.,Long rocket like object going extremely fast and in an instance dissapearing and the reappearing again.,2005-09-02,47.5288889,-121.8241667
2005-08-27 19:30:00,madison,wi,us,changing,720,11-12 minutes,It was an all black&#44 cigar shaped object floating then moving away slowly.,2005-09-02,43.0730556,-89.4011111
2005-08-27 19:30:00,madison,wi,us,changing,900,15 minutes,madison wi&#44 west side,2005-09-02,43.0730556,-89.4011111
2005-08-27 20:15:00,hobart (tasmania&#44 australia),,au,formation,900,15 mins.,Moving orange stars in random formation moving north to south white aura when moving through cloud,2005-09-02,-42.883209,147.331665
2005-08-27 20:15:00,mitchell,sd,us,circle,240,4  min.,I simply don&#39t know what they were.,2005-09-02,43.7094444,-98.0294444
2005-08-27 20:47:00,renton,wa,us,disk,20,15-20 seconds,On the day of 08/27/05&#44at 8:47 PM Myself&#44 was in Renton highlands&#44 Washington State facing due west and saw an object coming out of the,2005-09-02,47.4830556,-122.2158333
2005-08-27 21:15:00,puyallup,wa,us,circle,6,5-6 seconds,We saw three small seperated lights move from the north to the south around 9:15 PM (Pacific time).,2005-10-11,47.1855556,-122.2916667
2005-08-27 21:15:00,puyallup,wa,us,circle,6,6 seconds,The three objects appeared &#39moving from north to south at ahigh rate of speed and disappeared six seconds later.,2005-09-02,47.1855556,-122.2916667
2005-08-27 21:45:00,aliso viejo,ca,us,cylinder,240,3-4 min,A silver-white cylinder with detached bright yellow light right underneath seen hovering 1000 feet up and sped up noislessly.,2005-10-11,33.6083333,-117.7444444
2005-08-27 23:00:00,amman (jordan),,,triangle,180,3 mins,15 circular yellow lights &#44in the form of triangle head moved from east to north west for 2-3 minutes befor disapearing in the horizon.,2005-09-02,31.956578,35.945695
2005-08-27 23:00:00,lindenhurst,ny,us,changing,60,1 minute,8/27/05 at 11:00 pm friend and i was talking&#44sky was clear&#44saw falling star&#44then it just stoped short in the sky&#44then zig zaged.,2005-09-02,40.6866667,-73.3738889
2005-08-27 23:00:00,passaic,nj,us,disk,600,aound 10 or more minutes,it appeared out of no where and while in the sky it was just flipping and twirling and then just disappeared...,2005-10-11,40.8566667,-74.1288889
2006-08-27 00:30:00,winterset,ia,us,disk,900,15 min,The Closest thing anyone will ever come to a actual real life encounter.,2006-10-30,41.3308333,-94.0136111
2006-08-27 01:00:00,evart,mi,us,,10,10 seconds,Don&#39t believe in ufo&#39s &#44But here is what I saw. We were about two miles from highway 115  on highway 66 NE of Evart&#44 Mi. at my brother,2006-10-30,43.9005556,-85.2580556
2006-08-27 04:25:00,baldwin,fl,us,circle,1800,30 min,object moved at speed from one place to enother,2006-10-30,30.3025,-81.9755556
2006-08-27 06:00:00,south gate,ca,us,other,1800,30 minutes,One bright light with a &quot;tail&quot;; 2 other side by side objects moving around in the sky.,2006-10-30,33.9547222,-118.2111111
2006-08-27 20:10:00,miami,fl,us,other,60,1 min,a curved line with a ball on top in florida&#44 miami.,2006-10-30,25.7738889,-80.1938889
2006-08-27 21:00:00,madison,al,us,formation,3600,1 hour,A formation of four to five lights that for at least an hour would circle around each other&#44 then dash off in different directions.,2006-10-30,34.6991667,-86.7483333
2006-08-27 21:30:00,las vegas,nv,us,light,7200,2 hours,Strange light in western sky over Las Vegas,2006-10-30,36.175,-115.1363889
2006-08-27 21:45:00,blackpool (uk/england),,gb,light,30,30 secs,Fireball over Blackpool England 9.45pm 27/08/06,2006-10-30,53.816667,-3.05
2006-08-27 21:45:00,seatle,wa,,circle,8,8 sec,Silent large white light changes to red dot shape&#44 accelerates and vanishes before my eyes.,2006-10-30,47.60621,-122.332071
2006-08-27 22:00:00,redwood city,ca,us,circle,1342,22:22,8/27/2006 22:00  ANOTHER LARGE SINGLE CRAFT ABOVE SANTA CRUZ MOUNTAINS.,2006-10-30,37.4852778,-122.2352778
2006-08-27 23:00:00,canton,ga,us,sphere,120,2 minutes,My wife and myself were shopping online&#44 the computer desk happens to be next to a window.  As we were looking at different WebPages so,2006-10-30,34.2366667,-84.4908333
2006-08-27 23:00:00,federal way,wa,us,unknown,5,5 sec,Object with long green trail falling in Puget Sound Area.,2006-10-30,47.3225,-122.3113889
2006-08-27 23:00:00,grants pass,or,us,,600,10 minutes,bright circular moving light above tree tops,2006-10-30,42.4391667,-123.3272222
2006-08-27 23:27:00,comox (canada),bc,ca,light,5,5 seconds,bright lime green light streaked across the sky at night.,2006-10-30,49.683333,-124.933333
2006-08-27 23:55:00,warren,mi,us,flash,3600,1 hour,Intermittent flashing lights over citie of Warren&#44 Michigan,2006-10-30,42.4775,-83.0277778
2006-08-28 00:00:00,rasnov (romania),,,cigar,600,10 min,romania,2006-10-30,45.59306,25.46028
2007-08-27 00:10:00,trumbull,ct,us,light,240,4 minutes,bright light over merritt parkway,2007-10-08,41.2427778,-73.2011111
2007-08-27 00:15:00,rachel,nv,us,disk,180,2-3 minutes,Nevada desert UFO blazing near Area 51&#33,2007-10-08,37.6447222,-115.7427778
2007-08-27 00:30:00,chehalis,wa,us,oval,900,15 min,oval shaped object zig zag slowly in sky and held still at times; when still red and green lights.  ((NUFORC Note:  Possible star??  PD,2007-10-08,46.6622222,-122.9627778
2007-08-27 00:34:00,limassol (cyprus),,,circle,120,2 minutes,Red Light Object,2007-10-08,34.70713,33.022617
